cc_num,total_spending,avg_transaction,max_transaction,total_trans_count,days_active,daily_velocity,recent_spending_trend,most_freq_category,customer_peak_hour,vel_z,vel_points,spike_ratio,spike_points,amt_cat_points,night_points,total_risk_score,risk_band
60416207185,130130.12,59.25779599271402,3437.46,2196,683,3.2152269399707176,196.2228571428572,gas_transport,21,-0.08153918005139392,0,3.3113424800170357,30,0,0,30,Medium
60422928733,144062.95,65.4831590909091,1290.37,2200,671,3.278688524590164,65.87142857142858,home,0,-0.03529092664783132,0,1.0059293028300675,0,0,20,20,Low
60423098130,71125.55,96.37608401084012,27119.77,738,444,1.662162162162162,80.79571428571428,gas_transport,22,-1.2133503982387837,0,0.8383378004508526,0,0,0,0,Low
60427851591,79863.25,107.48755047106326,1164.36,743,449,1.6547884187082404,77.31714285714284,grocery_pos,9,-1.2187240862397184,0,0.7193125391573362,0,25,0,25,Low
60487002085,47111.24,64.09692517006802,2758.46,735,454,1.618942731277533,27.92285714285716,home,19,-1.24484698319638,0,0.4356348930743495,0,0,0,0,Low
60490596305,102510.17,69.97281228668942,1308.16,1465,608,2.4095394736842106,76.35428571428575,gas_transport,9,-0.6686918382829169,0,1.0911993275538283,0,0,0,0,Low
60495593109,48149.62,64.89167115902966,1037.69,742,440,1.6863636363636363,65.18142857142854,home,6,-1.1957133360960495,0,1.004465248116184,0,0,0,0,Low
501802953619,141326.6,64.41504102096627,5386.67,2194,677,3.240768094534712,21.09714285714281,gas_transport,18,-0.06292581267995871,0,0.32751889190408123,0,0,0,0,Low
501818133297,4946.54,618.3175,1084.02,8,2,4.0,566.9771428571429,shopping_net,22,0.4903718991024962,0,0.9169676466494041,0,25,0,25,Low
501828204849,49224.42,67.15473396998635,1600.14,733,449,1.6325167037861916,20.358571428571427,gas_transport,1,-1.2349548173445826,0,0.30315914046611125,0,0,20,20,Low
501831082224,84939.02,57.978853242320824,1088.26,1465,611,2.397708674304419,61.104285714285716,gas_transport,22,-0.6773136495875726,0,1.053906420999778,0,0,0,0,Low
501851115094,6467.8099999999995,431.1873333333333,1256.43,15,2,7.5,295.7928571428571,grocery_pos,1,3.041031292231927,25,0.6859961651846385,0,25,20,70,Critical
501882822387,54434.47,73.36181940700808,3126.03,742,437,1.6979405034324944,40.34000000000002,shopping_pos,6,-1.1872765804582797,0,0.5498773111963801,0,0,0,0,Low
501894933032,3741.75,534.5357142857143,1031.8,7,2,3.5,534.5357142857143,grocery_pos,1,0.12599198579829185,0,1.0,0,25,20,45,Medium
501899453424,146199.7,66.66652986776106,5030.32,2193,664,3.302710843373494,55.17857142857156,kids_pets,4,-0.017784425776559868,0,0.8276802698149,0,0,20,20,Low
502012776709,184891.43,63.23236320109439,1667.65,2924,695,4.207194244604317,65.24142857142853,gas_transport,6,0.6413667408745982,0,1.031772738968253,0,0,0,0,Low
502038091380,207155.66,94.3761548974943,1124.91,2195,684,3.2090643274853803,66.24714285714286,grocery_pos,16,-0.08603024445766318,0,0.7019478906414075,0,25,0,25,Low
502049568400,96927.21,66.25236500341764,7772.82,1463,599,2.4424040066777963,37.47571428571429,gas_transport,19,-0.644741486916945,0,0.5656509663282375,0,0,0,0,Low
503848303379,136133.92,61.822851952770215,1960.29,2202,677,3.2525849335302808,67.86000000000007,grocery_pos,23,-0.05431417514248864,0,1.0976523705480614,0,25,20,45,Medium
503851367360,4729.57,472.957,999.59,10,2,5.0,366.99142857142857,grocery_pos,22,1.219131725710905,0,0.7759509396656115,0,25,0,25,Low
503874407318,220226.2,60.25340629274966,3433.99,3655,717,5.097629009762901,12.737142857142857,gas_transport,23,1.2902798259376673,0,0.21139290939432792,0,0,20,20,Low
503886119844,6319.63,702.1811111111111,1108.11,9,2,4.5,708.9399999999999,shopping_net,23,0.8547518124067005,0,1.009625563521915,0,25,20,45,Medium
560881134780,49139.97,66.58532520325204,1191.14,738,450,1.64,10.597142857142908,gas_transport,19,-1.2295012916933483,0,0.15915132688464126,0,0,0,0,Low
